League,StartingBalance,TotalStakedMoney,EndingBalance,Profit,TotalMatches,ProfitPerGame,LostMatches,LostPercent,OptimalOdds
2023_F1,0,16500000,22621000.0,6121000.0,165,37096.969696969696,17,10.303030303030303,2.0
2023_bundes1,0,17100000,22623000.0,5523000.0,171,32298.245614035088,14,8.187134502923977,2.0
2023_F2,100000,13900000,15404000.0,1504000.0,139,10820.143884892086,33,23.741007194244602,2.0
2023_bundes2,100000,9700000,13815000.0,4115000.0,97,42422.68041237113,9,9.278350515463918,1.9
2022_SP1,0,19000000,22826000.0,3826000.0,190,20136.842105263157,29,15.263157894736842,2.0
2022_SP2,0,100000,125000.0,25000.0,1,25000.0,0,0.0,1.3
2023_SP2,0,1000000,1413000.0,413000.0,10,41300.0,0,0.0,1.5
2023_SP1,0,11400000,15216000.0,3816000.0,114,33473.68421052631,6,5.263157894736842,1.7
2022_bundes2,0,7400000,10735000.0,3335000.0,74,45067.56756756757,6,8.108108108108109,1.9
2022_bundes1,0,16100000,21468000.0,5368000.0,161,33341.6149068323,15,9.316770186335404,2.0
2022_F2,0,1100000,1643000.0,543000.0,11,49363.63636363636,0,0.0,1.6
2022_F1,0,18800000,23710000.0,4910000.0,188,26117.021276595744,20,10.638297872340425,1.9
